time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,humidity,precipitation,year
2015-07-19,26.8,22.7,32.2,,,237.0,14.1,,,,,,2015
2015-07-20,24.9,18.3,30.5,,,,9.0,,,,,,2015
2015-07-21,24.7,22.0,28.3,,,,10.4,,,,,,2015
2015-07-22,23.7,18.0,27.7,,,,8.9,,,,,,2015
2016-07-18,27.3,22.0,32.0,,,270.0,14.7,,,,,,2016
2016-07-19,25.1,19.0,32.0,,,,9.5,,,,,,2016
2016-07-20,24.2,18.0,29.0,,,,9.6,,,,,,2016
2016-07-21,28.2,22.0,35.0,,,216.0,13.8,,,,,,2016
2016-07-22,29.6,26.0,35.0,,,,10.7,,,,,,2016
2018-07-18,22.4,19.0,25.0,,,71.0,12.5,,,,,,2018
2018-07-19,22.8,18.0,27.0,,,127.0,14.7,,,,,,2018
2018-07-20,22.8,20.0,26.0,,,184.0,16.9,,,,,,2018
2018-07-21,21.9,20.0,24.0,,,164.0,17.4,,,,,,2018
2018-07-22,20.3,18.0,22.0,,,58.0,15.5,,,,,,2018
2019-07-18,25.5,20.0,32.0,,,,8.2,,,,,,2019
2019-07-19,29.2,25.0,34.0,,,239.0,20.9,,,,,,2019
2019-07-20,28.9,25.0,34.0,,,,17.0,,,,,,2019
2019-07-21,25.8,21.0,30.0,,,75.0,13.2,,,,,,2019
2019-07-22,21.9,19.0,24.0,,,30.0,15.1,,,,,,2019
2020-07-18,27.5,22.0,33.0,,,231.0,12.0,,,,,,2020
2020-07-19,26.7,22.0,31.0,,,242.0,18.1,,,,,,2020
2020-07-20,25.2,22.0,29.0,,,264.0,14.2,,,,,,2020
2020-07-21,24.7,22.0,28.0,,,19.0,9.5,,,,,,2020
2020-07-22,24.4,21.0,28.0,,,226.0,15.8,,,,,,2020
2021-07-18,22.6,17.0,27.0,0.0,,351.0,1.4,,1021.7,,,,2021
2021-07-19,24.1,20.0,27.0,0.0,,350.0,1.7,,1019.7,,,,2021
2021-07-20,24.9,22.0,28.0,0.5,,339.0,3.4,,1016.1,,,,2021
2021-07-21,21.0,19.0,24.0,4.0,,20.0,6.8,,1018.8,,,,2021
2021-07-22,19.5,13.0,23.0,0.0,,5.0,1.4,,1023.1,,,,2021
2022-07-18,24.1,21.0,28.0,3.3,,289.0,11.0,,1010.2,,,,2022
2022-07-19,25.8,21.0,31.0,0.0,,234.0,12.9,,1011.7,,,,2022
2022-07-20,26.7,23.0,31.0,4.8,,223.0,18.0,,1005.1,,,,2022
2022-07-21,26.1,22.0,30.0,0.0,,263.0,17.8,,1006.9,,,,2022
2022-07-22,25.8,21.0,30.0,0.0,,271.0,11.2,,1013.0,,,,2022
2023-07-18,21.8,18.0,25.0,0.0,,348.0,8.5,,1015.1,,,,2023
2023-07-19,21.8,16.0,27.0,0.0,,52.0,4.3,,1017.2,,,,2023
2023-07-20,23.4,20.0,29.0,0.4,,219.0,15.1,,1012.3,,,,2023
2023-07-21,21.7,19.0,25.0,0.1,,344.0,10.0,,1012.5,,,,2023
2023-07-22,21.5,17.0,27.0,0.0,,323.0,5.9,,1013.0,,,,2023
